archivo,carpeta,estado,palabras,tiene_yaml,tipo_nota,tipo_valido,campos_ok_count,campos_faltantes_count,campos_faltantes,campos_alias,problemas
08_Plantillas\Plantilla-Norma.md,08_Plantillas,ERROR,154,True,plantilla,True,5,3,territorio | dimension_tgi | fuente_canonica,tipo→tipo_nota | name→nombre | etiquetas→tags | fecha_creacion→fecha,"Faltan 3 campos: territorio, dimension_tgi, fuente_canonica | Aliases no canónicos: tipo→tipo_nota, name→nombre, etiquetas→tags, fecha_creacion→fecha"
08_Plantillas\Plantilla-Parroquia.md,08_Plantillas,ERROR,218,True,plantilla,True,5,3,territorio | dimension_tgi | fuente_canonica,tipo→tipo_nota | name→nombre | etiquetas→tags | fecha_creacion→fecha,"Faltan 3 campos: territorio, dimension_tgi, fuente_canonica | Aliases no canónicos: tipo→tipo_nota, name→nombre, etiquetas→tags, fecha_creacion→fecha"
COAD-Acto-Administrativo.md,.,ERROR,0,False,,False,0,8,tipo_nota | nombre | territorio | dimension_tgi | tags | fecha | estado | fuente_canonica,,"Nota vacía o casi vacía | Faltan 8 campos: tipo_nota, nombre, territorio, dimension_tgi, tags, fecha, estado, fuente_canonica"
Concejo Municipal de Montecristi.md,.,ERROR,0,False,,False,0,8,tipo_nota | nombre | territorio | dimension_tgi | tags | fecha | estado | fuente_canonica,,"Nota vacía o casi vacía | Faltan 8 campos: tipo_nota, nombre, territorio, dimension_tgi, tags, fecha, estado, fuente_canonica"
COOTAD-Gobierno-Local.md,.,ERROR,0,False,,False,0,8,tipo_nota | nombre | territorio | dimension_tgi | tags | fecha | estado | fuente_canonica,,"Nota vacía o casi vacía | Faltan 8 campos: tipo_nota, nombre, territorio, dimension_tgi, tags, fecha, estado, fuente_canonica"
COPFP-Planificacion-Finanzas.md,.,ERROR,0,False,,False,0,8,tipo_nota | nombre | territorio | dimension_tgi | tags | fecha | estado | fuente_canonica,,"Nota vacía o casi vacía | Faltan 8 campos: tipo_nota, nombre, territorio, dimension_tgi, tags, fecha, estado, fuente_canonica"
DIAG-Ambiental.md,.,ERROR,0,False,,False,0,8,tipo_nota | nombre | territorio | dimension_tgi | tags | fecha | estado | fuente_canonica,,"Nota vacía o casi vacía | Faltan 8 campos: tipo_nota, nombre, territorio, dimension_tgi, tags, fecha, estado, fuente_canonica"
DIAG-Demo grafia.md,.,ERROR,0,False,,False,0,8,tipo_nota | nombre | territorio | dimension_tgi | tags | fecha | estado | fuente_canonica,,"Nota vacía o casi vacía | Faltan 8 campos: tipo_nota, nombre, territorio, dimension_tgi, tags, fecha, estado, fuente_canonica"
DIAG-Economia-Productivo.md,.,ERROR,0,False,,False,0,8,tipo_nota | nombre | territorio | dimension_tgi | tags | fecha | estado | fuente_canonica,,"Nota vacía o casi vacía | Faltan 8 campos: tipo_nota, nombre, territorio, dimension_tgi, tags, fecha, estado, fuente_canonica"
enlace.md,.,ERROR,0,False,,False,0,8,tipo_nota | nombre | territorio | dimension_tgi | tags | fecha | estado | fuente_canonica,,"Nota vacía o casi vacía | Faltan 8 campos: tipo_nota, nombre, territorio, dimension_tgi, tags, fecha, estado, fuente_canonica"
